index,text,label
1001.jpg,यो तस्बिर साँच्चै हास्यास्पद छ,0
1002.jpg,नेपालको राजनीति यस्तै हो,1
1003.jpg,खुसीको क्षण,2
1004.jpg,मलाई यो मन पर्दैन,0
1005.jpg,सामान्य दिन हो,1
1006.jpg,धेरै राम्रो कुरा भयो,2
1007.jpg,किन यस्तो हुन्छ,0
1008.jpg,ठीकै छ यार,1
1009.jpg,अद्भुत अनुभव भयो,2
1010.jpg,दुःखद समाचार,0
1011.jpg,के गर्ने यस्तोमा,1
1012.jpg,जिन्दगी सुन्दर छ,2
1013.jpg,यो गलत हो,0
1014.jpg,सोच्नु पर्छ,1
1015.jpg,धन्यवाद सबैलाई,2
1016.jpg,निराश भएँ,0
1017.jpg,ठीक छ सब,1
1018.jpg,खुसी छु आज,2
1019.jpg,मन नपरेको कुरा,0
1020.jpg,सामान्य अवस्था,1
